Week,doge: (Worldwide),shiba: (Worldwide),pepe: (Worldwide),bonk: (Worldwide),FLOKI: (Worldwide)
2/23/2020,2,3,10,1,1
3/1/2020,2,3,10,1,<1
3/8/2020,2,2,8,1,<1
3/15/2020,1,2,8,<1,<1
3/22/2020,1,2,9,<1,1
3/29/2020,2,3,9,<1,1
4/5/2020,1,3,10,<1,1
4/12/2020,1,3,10,<1,1
4/19/2020,2,3,10,<1,<1
4/26/2020,2,3,10,<1,1
5/3/2020,2,3,9,<1,1
5/10/2020,2,3,12,<1,1
5/17/2020,2,3,11,<1,1
5/24/2020,2,3,11,<1,<1
5/31/2020,2,3,10,<1,<1
6/7/2020,2,3,10,<1,<1
6/14/2020,2,3,10,<1,<1
6/21/2020,2,3,10,<1,<1
6/28/2020,2,3,10,<1,<1
7/5/2020,3,3,10,<1,<1
7/12/2020,2,3,10,<1,<1
7/19/2020,2,3,10,<1,1
7/26/2020,2,3,11,<1,1
8/2/2020,2,3,11,<1,<1
8/9/2020,2,3,10,<1,<1
8/16/2020,2,3,10,<1,<1
8/23/2020,2,3,11,1,<1
8/30/2020,2,3,11,1,<1
9/6/2020,2,3,10,1,<1
9/13/2020,2,3,10,1,<1
9/20/2020,2,3,10,1,<1
9/27/2020,2,3,11,1,<1
10/4/2020,2,3,10,<1,<1
10/11/2020,1,3,12,<1,<1
10/18/2020,1,2,12,<1,<1
10/25/2020,1,3,11,<1,<1
11/1/2020,1,2,11,<1,<1
11/8/2020,1,3,11,<1,<1
11/15/2020,2,3,12,<1,<1
11/22/2020,2,3,13,<1,<1
11/29/2020,2,3,12,<1,<1
12/6/2020,2,3,11,<1,<1
12/13/2020,2,3,11,<1,<1
12/20/2020,2,4,12,<1,<1
12/27/2020,2,3,11,<1,1
1/3/2021,3,3,9,<1,1
1/10/2021,2,3,10,<1,1
1/17/2021,2,3,10,<1,1
1/24/2021,19,3,10,<1,1
1/31/2021,13,3,9,<1,1
2/7/2021,14,3,10,<1,1
2/14/2021,7,3,10,<1,1
2/21/2021,5,3,10,1,<1
2/28/2021,4,3,10,1,<1
3/7/2021,4,3,22,1,<1
3/14/2021,3,3,12,<1,<1
3/21/2021,3,3,10,<1,<1
3/28/2021,3,3,10,<1,<1
4/4/2021,3,3,9,<1,<1
4/11/2021,24,4,10,<1,<1
4/18/2021,24,6,9,<1,<1
4/25/2021,11,4,9,<1,<1
5/2/2021,32,10,9,<1,<1
5/9/2021,32,59,10,<1,<1
5/16/2021,14,27,10,<1,<1
5/23/2021,9,16,10,<1,<1
5/30/2021,9,15,10,<1,<1
6/6/2021,6,12,10,<1,<1
6/13/2021,5,15,13,<1,<1
6/20/2021,7,12,12,<1,1
6/27/2021,7,12,14,<1,1
7/4/2021,8,11,9,<1,1
7/11/2021,5,7,10,<1,<1
7/18/2021,5,7,10,<1,<1
7/25/2021,4,7,10,<1,<1
8/1/2021,4,7,9,<1,<1
8/8/2021,5,9,10,<1,<1
8/15/2021,5,9,10,<1,<1
8/22/2021,4,8,10,<1,<1
8/29/2021,4,7,10,<1,<1
9/5/2021,4,8,10,<1,<1
9/12/2021,3,10,10,<1,2
9/19/2021,3,8,9,<1,1
9/26/2021,3,6,9,<1,<1
10/3/2021,4,45,9,<1,2
10/10/2021,4,26,9,<1,2
10/17/2021,5,22,9,<1,2
10/24/2021,9,100,9,<1,4
10/31/2021,8,62,9,<1,5
11/7/2021,6,36,9,<1,3
11/14/2021,5,27,10,<1,2
11/21/2021,4,23,11,<1,1
11/28/2021,5,25,11,<1,2
12/5/2021,4,17,9,<1,2
12/12/2021,5,17,11,<1,2
12/19/2021,4,18,10,<1,1
12/26/2021,4,15,10,<1,2
1/2/2022,7,15,9,<1,1
1/9/2022,8,14,10,<1,1
1/16/2022,7,12,9,<1,1
1/23/2022,5,12,10,<1,1
1/30/2022,5,11,10,<1,1
2/6/2022,5,18,10,<1,1
2/13/2022,4,12,10,<1,1
2/20/2022,4,10,10,<1,1
2/27/2022,4,10,10,<1,1
3/6/2022,3,8,10,<1,1
3/13/2022,3,8,9,<1,1
3/20/2022,3,8,10,<1,1
3/27/2022,4,10,11,<1,1
4/3/2022,4,8,10,<1,1
4/10/2022,4,12,10,<1,1
4/17/2022,4,8,10,<1,1
4/24/2022,5,8,11,<1,1
5/1/2022,4,7,10,<1,<1
5/8/2022,4,9,10,<1,<1
5/15/2022,3,7,9,<1,<1
5/22/2022,3,6,9,<1,<1
5/29/2022,3,7,10,<1,<1
